KeyParcelId,Additional Parcel Indexes,Parcel Address,,
R72 16201 0015,,3419 Stanford Pl,,
R72 04202 0104,,206 Eugene Ave,,
R72 07104B0005,,21-23 Pinehurst Ave,,
R72 14307 0043,,721 Watervliet Ave,,
R72 12803 0037,36,129 N Upland Ave & N Upland Ave,,
R72 12803 0035,,121 N Upland Ave,,
R72 05204 0116,,1401 Lamar St,,
R72 05204 0038,,1229 Lamar St,,
R72 16201 0014,,1651 Kipling Dr,,
R72 10602 0040,,418 Smith St,,
R72 11005 0037,,125 E Siebenthaler Ave,,
R72 10212 0003,,659 Latham St,,
R72 117221 0002,,4742 Frederick Pike,,
R72 15701 0137,,3603 Dandridge Ave,,
R72 01309 0004,,58-60 Drummer Ave,,
R72 01309 0003,,62-64 Drummer Ave,,
R72 01210 0014,,137 Huffman Ave,,
R72 06807 0026,,304 Rockwood Ave,,
R72 05214 0021,,225 Notre Dame Ave,,
R72 05709 0025,,1612-1614 Mack Ave,,
R72 05403 0032,,204 Hart St,,
R72 05106 0073,,509 Brandt St,,
R72 06703 0052,,40 Warder St,,
R72 06703 0022,,33 Warder St,,
R72 12410 0069,70,957 Geneva Rd & Hoover Ave,,
R72 16204 0017,,1670 Newton Ave,,
R72 02409 0025,,1435 Wyoming St,,
R72 05107 0046,,2034 Stapleton Ct,,
R72 03410 0007,,1228 Wyoming St,,
R72 13216 0007,,3517 Roejack Dr,,
R72 07901 0003,,1249 Everett Ave,,
R72 04001 0094,,909  Linden Ave,,
R72 12017 0002,,1709 Princeton Dr,,
R72 12102 0054,,1000 Bridge St,,
R72 50825 0007,,Palmer St #7,,
R72 50825 0003,,Palmer St #3,,
R72 08804 0007,,116 James H McGee Blvd,,
R72 05504 0018,,654-656 Milburn Ave,,
R72 06908 0021,,805 Manhattan Ave,,
R72 08404 0010,,218 Dakota St,,
R72 08404 0011,,212-214 Dakota St,,
R72 08404 0014,,1023-1025 First St,,
R72 08303 0059,,201-203 N Broadway St,,
R72 08303 0061,,1311 W First St,,
R72 08305 0084,,305 N Broadway St,,
R72 08404 0001,,240 N Williams St,,
R72 08404 0005,,Dakota St,,
R72 08404 0012,,W First St,,
R72 08404 0013,,1107 W First St,,
R72 08404 0022,,W Second St,,
R72 08404 0031,,113-115 Grimes St,,
R72 08405 0002,,N Williams St,,
R72 08405 0025,,1129-1132 W First St,,
R72 08405 0026,,1125-1127 W First St,,
R72 08405 0027,,1123 W First St,,
R72 08408 0001,,1203-1205 W First St,,
R72 08408 0018,,100 N Broadway St,,
R72 08408 0020,,N Broadway St,,
R72 08408 0021,,N Broadway St,,
R72 08408 0023,,N Broadway St,,
